file_id,segment_id,x_name,eta_knee_window,eta_random_window,eta_knee_random_ratio,knee_window_frac,pipeline_version
220726183749_058_1,0,VbiasSQUID2,0.8397571236187735,0.8323713616135602,1.0088731572778955,0.2,5.5
220726183749_127_1,0,VbiasSQUID2,0.8326737988629992,0.8238905141468527,1.0106607426172902,0.2,5.5
220726183749_163_0,0,VbiasSQUID2,0.7117653077108105,0.7475620653557774,0.9521153369012504,0.2,5.5
220726183749_199_0,0,VbiasSQUID2,0.6515822785614876,0.6386235956381191,1.0202915817891447,0.2,5.5
220729121637_018_0_0,0,VbiasSQUID1,0.071973310240498,0.071973310240498,1.0,0.2,5.5
220729121637_019_1_0,0,VbiasSQUID1,0.0754798818929792,0.0823476200659805,0.916600647747942,0.2,5.5
220729121637_019_1_1,0,VbiasSQUID1,0.0927072808005571,0.0927072808005571,1.0,0.2,5.5
220729121637_020_3_1,0,VbiasSQUID1,0.0986304221982874,0.1039071607279518,0.9492167961024376,0.2,5.5
220729121637_021_4_0,0,VbiasSQUID1,0.122434010454214,0.122434010454214,1.0,0.2,5.5
220729121637_022_2_1,0,VbiasSQUID1,0.0674322924534113,0.0718824919371137,0.9380906342590956,0.2,5.5
220729121637_022_3_0,0,VbiasSQUID1,0.0982325942957081,0.0982325942957081,1.0,0.2,5.5
220729121637_022_5_0,0,VbiasSQUID1,0.1206083154102035,0.1286918069718247,0.9371872091018896,0.2,5.5
220729121637_024_3_0,0,VbiasSQUID1,0.0693197820485153,0.0744437142297706,0.9311703851121638,0.2,5.5
220729121637_055_1_1,0,VbiasSQUID1,0.0824540241522995,0.0824540241522995,1.0,0.2,5.5
220729121637_055_3_0,0,VbiasSQUID1,0.0621363796499055,0.0662436592975398,0.9379973918834098,0.2,5.5
220729121637_089_1_0,0,VbiasSQUID1,0.0694390862866389,0.0694390862866389,1.0,0.2,5.5
220729121637_096_7_1,0,VbiasSQUID1,0.098255130069291,0.1084118013336332,0.9063139700715294,0.2,5.5
220729121637_122_0_1,0,VbiasSQUID1,0.0497598693766963,0.0553710856500519,0.898661617205436,0.2,5.5
220729121637_123_0_0,0,VbiasSQUID1,0.0676076384145349,0.073230183512647,0.9232209339316888,0.2,5.5
220729121637_128_5_0,0,VbiasSQUID1,0.0720657804872594,0.0828068396586296,0.8702877779703938,0.2,5.5
220729121637_160_2_1,0,VbiasSQUID1,0.0701512618123471,0.0701512618123471,1.0,0.2,5.5
220729121637_161_2_1,0,VbiasSQUID1,0.0898798747137221,0.0819929984276793,1.096189631276862,0.2,5.5
220729121637_163_3_0,0,VbiasSQUID1,0.0706384727757565,0.0762074677235539,0.9269232384416812,0.2,5.5
220729121637_163_4_0,0,VbiasSQUID1,0.082104852099436,0.082104852099436,1.0,0.2,5.5
220729121637_167_7_0,0,VbiasSQUID1,0.1092151174588641,0.1197677252656699,0.9118910559301528,0.2,5.5
220729121637_195_0_0,0,VbiasSQUID1,0.0913522622110717,0.0817416211525987,1.1175734090290597,0.2,5.5
220729121637_199_1_0,0,VbiasSQUID1,0.0385155347378111,0.0385155347378111,1.0,0.2,5.5
220729121637_199_2_0,0,VbiasSQUID1,0.091188068969104,0.091188068969104,1.0,0.2,5.5
