file_id,segment_id,x_name,eta_reason,f_overlap,eta_denom,x_min_plus,x_max_plus,x_min_minus,x_max_minus,x_grid_min,x_grid_max,n_grid,pipeline_version
220721194131_25,0,col0,insufficient_points,,,,,,,,,,5.5
220721194131_26,0,col0,insufficient_points,,,,,,,,,,5.5
220721194131_27,0,col0,insufficient_points,,,,,,,,,,5.5
220721194131_28,0,col0,insufficient_points,,,,,,,,,,5.5
220721194131_29,0,col0,insufficient_points,,,,,,,,,,5.5
220721194131_30,0,col0,insufficient_points,,,,,,,,,,5.5
220721194131_31,0,col0,insufficient_points,,,,,,,,,,5.5
220721194131_32,0,col0,insufficient_points,,,,,,,,,,5.5
220721194131_33,0,col0,insufficient_points,,,,,,,,,,5.5
220721194131_34,0,col0,insufficient_points,,,,,,,,,,5.5
220721194131_35,0,col0,insufficient_points,,,,,,,,,,5.5
220721194131_36,0,col0,insufficient_points,,,,,,,,,,5.5
