file_id,odd_ratio_post_median,alignment_score_median,knee_norm_span,noise_flatness_median,hysteresis_proxy,spacing_cv,spacing_outlier_flag,pipeline_version
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",228.22019478274342,0.33265707337649497,0.0,0.02404109819373325,,0.04786573633765544,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000000750],7.489286411316899,0.6869747679135828,0.0,0.01791733908697416,,0.09406439578610586,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000001500],7.321131866928653,0.616937582971674,0.0,0.017912010827575403,,0.09694062335410128,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000002250],7.233924745588184,0.6348200384592575,0.0,0.01798126133016433,,0.09329602510282398,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000003000],7.536117780113306,0.7008875483099667,0.0,0.017912864875929895,,0.09599476879728747,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000003750],7.592774732132074,0.6774726215717618,0.0,0.01792181795837633,,0.09460260977276519,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000004500],7.49924036308129,0.7014786911577326,0.0,0.017809906688400948,,0.09108332520265774,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000005250],7.860613587509154,0.6782289949321304,0.0,0.017861618255345685,,0.09936020876489643,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000006000],7.909639148052746,0.5057304478860564,0.0,0.0180687889770052,,0.09317360024811615,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000006750],7.53673271635872,0.49545243776010484,0.0,0.01808565534498981,,0.09536939498734469,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000007500],7.756167732459811,0.6983045523554269,0.0,0.01780924950494152,,0.09523610364279836,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000008250],6.614978025247706,0.6755168220305631,0.0,0.017958949017010936,,0.09090951526146678,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000009000],7.451142024048519,0.7110360473511745,0.0,0.017879100067419905,,0.09085436150090787,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000009750],6.951044337808447,0.7102117766465229,0.0,0.017897723154899743,,0.09704504054523085,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000010500],6.733627160015029,0.5157839778387864,0.0,0.01803732851060605,,0.09853821019226856,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000011250],6.544824802421735,0.5042749298461832,0.0,0.017983676685351384,,0.09520100035865052,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000012000],6.434387633263765,0.7219673124399306,0.0,0.017738000805149427,,0.0987412992890508,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000012750],6.2550318596470325,0.6002233685334137,0.0,0.017986937429585077,,0.09460090778014897,False,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000013500],6.414714769972189,0.49360201431680767,0.0,0.018067605464661362,,0.089325385767923,False,6.0
